dataset,model,accuracy,f1_macro,train_time
original_norm,KNN-5,0.8589,0.8580386825779728,9.795401573181152
original_norm,KNN-7,0.8558,0.8552263448023817,7.23598313331604
original_norm,KNN-9,0.8561,0.855433823177108,7.6333019733428955
original_norm,RF-100,0.8846,0.8829261187623645,17.61169147491455
original_norm,RF-200,0.8875,0.8859205055448705,33.91846823692322
standardized,KNN-5,0.863,0.8626280170251059,8.010292530059814
standardized,KNN-7,0.8609,0.8608015531781211,7.440661430358887
standardized,KNN-9,0.8595,0.8592922934563232,7.262569189071655
standardized,RF-100,0.8852,0.8835566153689671,17.28929042816162
standardized,RF-200,0.887,0.8853444995997307,33.557899951934814
binary,KNN-5,0.8462,0.8445042675284299,7.5219433307647705
binary,KNN-7,0.8433,0.841389616559254,7.311469554901123
binary,KNN-9,0.8422,0.8404233179276195,7.348237752914429
binary,RF-100,0.8806,0.8793542619967294,11.28712797164917
binary,RF-200,0.8819,0.8805134141235256,23.196926832199097
clahe,KNN-5,0.8736,0.8722994788298415,7.484504222869873
clahe,KNN-7,0.8721,0.8706949818410952,7.80161452293396
clahe,KNN-9,0.8694,0.8678499098093514,7.264728546142578
clahe,RF-100,0.8792,0.8776773474841553,19.448497772216797
clahe,RF-200,0.8793,0.8777170617988039,38.91505551338196
gaussian,KNN-5,0.8599,0.8593657837336799,7.204915523529053
gaussian,KNN-7,0.8623,0.8616881106007954,7.160033702850342
gaussian,KNN-9,0.861,0.8599749315913948,7.81203556060791
gaussian,RF-100,0.8843,0.8832302070327189,23.350202560424805
gaussian,RF-200,0.8871,0.8860602744134235,47.89219951629639
edges,KNN-5,0.8155,0.8140165970427349,7.394659996032715
edges,KNN-7,0.818,0.8165247400187559,7.225950717926025
edges,KNN-9,0.8201,0.8186807962001392,7.160128116607666
edges,RF-100,0.85,0.8484403371813565,24.04594874382019
edges,RF-200,0.852,0.8504868190073747,47.160927295684814
combined,KNN-5,0.88,0.8789882201029074,20.647659063339233
combined,KNN-7,0.8767,0.875818568626175,20.33382773399353
combined,KNN-9,0.8754,0.8742850423769809,20.37710428237915
combined,RF-100,0.8862,0.884470384772713,37.53183102607727
combined,RF-200,0.8867,0.8850510906710218,75.21543145179749
pca,KNN-5,0.8699,0.869581868180296,2.2800588607788086
pca,KNN-7,0.8683,0.8681406880775085,2.217613935470581
pca,KNN-9,0.8683,0.8680837472751625,2.2694454193115234
pca,RF-100,0.8681,0.8659395241540777,28.047614336013794
pca,RF-200,0.8707,0.8685710583286401,56.180387020111084
selected,KNN-5,0.8398,0.8381417885823131,4.420896291732788
selected,KNN-7,0.8377,0.8356404880296197,4.161418437957764
selected,KNN-9,0.8371,0.8349662747415199,4.129306077957153
selected,RF-100,0.8668,0.8653935870721756,6.960831880569458
selected,RF-200,0.8662,0.8647384584224962,13.629921674728394
